Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
LEU3 CDS;0,930910582;-0,055318081;0,734945909;LEU3;YLR451W
hypothetical protein CDS;0,931273285;0,070215719;0,735389093;;YJL163C
CAF120 CDS;0,931284415;0,063520035;0,735713843;CAF120;YNL278W
PLC1 CDS;0,931284415;0,04971314;0,736100813;PLC1;YPL268W
CUE3 CDS;0,931284415;0,049629451;0,73633889;CUE3;YGL110C
PML39 CDS;0,931284415;-0,052762197;0,736317973;PML39;YML107C
LRE1 CDS;0,931284415;-0,054392263;0,736021673;LRE1;YCL051W
AIM45 CDS;0,931284415;-0,059733144;0,73623236;AIM45;YPR004C
hypothetical protein CDS;0,931545308;0,056215666;0,736702049;;YER190C-B
hypothetical protein CDS;0,931620779;0,058474168;0,736918626;;YOL036W
CDC36 CDS;0,931951693;-0,057484816;0,737437309;CDC36;YDL165W
SPO19 CDS;0,931951693;-0,071727143;0,737494275;SPO19;YPL130W
YRM1 CDS;0,932698788;0,054295409;0,738242557;YRM1;YOR172W
VPS35 CDS;0,932813711;0,054337936;0,738804797;VPS35;YJL154C
hypothetical protein CDS;0,932813711;-0,04979165;0,738719013;;YML002W
EFT1 CDS;0,932813711;-0,055380711;0,738564141;EFT1;YOR133W
MRH1 CDS;0,932934455;0,061650181;0,739528878;MRH1;YDR033W
DER1 CDS;0,932934455;0,057006705;0,739472232;DER1;YBR201W
NPL4 CDS;0,932934455;0,051778526;0,739267095;NPL4;YBR170C
hypothetical protein CDS;0,932934455;-0,060135739;0,739287314;;YNL108C
SWR1 CDS;0,932974132;-0,051362138;0,739717449;SWR1;YDR334W
RCL1 CDS;0,933036574;-0,06358683;0,739924087;RCL1;YOL010W
hypothetical protein CDS;0,933381335;0,05495681;0,740511868;;YHL050C
SAS3 CDS;0,933381335;0,048927817;0,740442521;SAS3;YBL052C
GLC8 CDS;0,93356061;0,049146547;0,741019139;GLC8;YMR311C
LSG1 CDS;0,93356061;-0,050900061;0,740894622;LSG1;YGL099W
SHP1 CDS;0,93356061;-0,054366861;0,741207897;SHP1;YBL058W
PHO88 CDS;0,93356061;-0,063571747;0,74128297;PHO88;YBR106W
TRP5 CDS;0,933830043;-0,053267804;0,741654174;TRP5;YGL026C
PIF1 CDS;0,933960486;0,048520483;0,741915058;PIF1;YML061C
ODC2 CDS;0,933968541;0,068878067;0,742078743;ODC2;YOR222W
IMH1 CDS;0,934502682;-0,052416517;0,742660518;IMH1;YLR309C
hypothetical protein CDS;0,934715478;0,066142582;0,743150259;;YNL195C
RAD4 CDS;0,934715478;0,058161206;0,744177304;RAD4;YER162C
hypothetical protein CDS;0,934715478;0,054318801;0,743526179;;YKR015C
hypothetical protein CDS;0,934715478;0,051320858;0,744799752;;YGL082W
ISW1 CDS;0,934715478;0,049786621;0,744526369;ISW1;YBR245C
hypothetical protein CDS;0,934715478;0,049480003;0,743364162;;YDR222W
MDM34 CDS;0,934715478;0,049479282;0,742998979;MDM34;YGL219C
HDA2 CDS;0,934715478;-0,050478564;0,744150197;HDA2;YDR295C
SPC19 CDS;0,934715478;-0,054575454;0,744728097;SPC19;YDR201W
SEC4 CDS;0,934715478;-0,056822726;0,744791913;SEC4;YFL005W
DED1 CDS;0,934715478;-0,058092537;0,744776469;DED1;YOR204W
SHR3 CDS;0,934715478;-0,060493064;0,744875992;SHR3;YDL212W
GAL7 CDS;0,934715478;-0,068441929;0,744797727;GAL7;YBR018C
DBP6 CDS;0,934842565;0,049084701;0,745134702;DBP6;YNR038W
hypothetical protein CDS;0,934895538;0,065094305;0,745466425;;YML131W
TRA1 CDS;0,934895538;0,051973465;0,745649253;TRA1;YHR099W
VAB2 CDS;0,934895538;0,049051339;0,745598908;VAB2;YEL005C
YRF1-2 CDS;0,934901228;0,056985215;0,74643297;YRF1-2;YER190W
hypothetical protein CDS;0,934901228;0,047752856;0,746476609;;YLR001C
SOM1 CDS;0,934901228;-0,049573277;0,74670119;SOM1;YEL059C-A
THI3 CDS;0,934901228;-0,050569835;0,74669192;THI3;YDL080C
BCH1 CDS;0,934901228;-0,051451399;0,746098785;BCH1;YMR237W
GCN2 CDS;0,934901228;-0,053741335;0,746563105;GCN2;YDR283C
NCE103 CDS;0,934901228;-0,068683374;0,746755899;NCE103;YNL036W
MTC4 CDS;0,934977325;0,049310895;0,746974138;MTC4;YBR255W
hypothetical protein CDS;0,935067942;0,056642964;0,747204006;;YJR061W
SKI8 CDS;0,936050618;-0,047639525;0,748186194;SKI8;YGL213C
OSW5 CDS;0,936050618;-0,04845454;0,748304527;OSW5;YMR148W
RIM9 CDS;0,936116246;0,053978204;0,748514641;RIM9;YMR063W
MEI5 CDS;0,936153267;0,084310277;0,753274626;MEI5;YPL121C
hypothetical protein CDS;0,936153267;0,081874598;0,753440191;;YPR108W-A
DAL81 CDS;0,936153267;0,058001735;0,749135062;DAL81;YIR023W
HIF1 CDS;0,936153267;0,056619858;0,750723819;HIF1;YLL022C
YTH1 CDS;0,936153267;0,055219868;0,754062155;YTH1;YPR107C
CRR1 CDS;0,936153267;0,05514868;0,752148772;CRR1;YLR213C
ALK2 CDS;0,936153267;0,053960349;0,753068395;ALK2;YBL009W
DON1 CDS;0,936153267;0,05383084;0,752496062;DON1;YDR273W
hypothetical protein CDS;0,936153267;0,05293807;0,75231526;;YPL034W
YIP3 CDS;0,936153267;0,052722029;0,753768936;YIP3;YNL044W
SPT2 CDS;0,936153267;0,052489493;0,751279574;SPT2;YER161C
hypothetical protein CDS;0,936153267;0,051774379;0,751275623;;YNL046W
RHB1 CDS;0,936153267;0,050922338;0,750730382;RHB1;YCR027C
RGS2 CDS;0,936153267;0,050766862;0,751440042;RGS2;YOR107W
CAD1 CDS;0,936153267;0,050471077;0,752581761;CAD1;YDR423C
hypothetical protein CDS;0,936153267;0,049613698;0,753687711;;YBR259W
PRP9 CDS;0,936153267;0,047815318;0,751160359;PRP9;YDL030W
AVT1 CDS;0,936153267;0,047792071;0,749937581;AVT1;YJR001W
PRP21 CDS;0,936153267;-0,04817604;0,749492964;PRP21;YJL203W
RPS14B CDS;0,936153267;-0,048272477;0,753022455;RPS14B;YJL191W
hypothetical protein CDS;0,936153267;-0,048541682;0,751445019;;YEL068C
TIF6 CDS;0,936153267;-0,048614613;0,749368717;TIF6;YPR016C
SKY1 CDS;0,936153267;-0,049093016;0,751615993;SKY1;YMR216C
PSK1 CDS;0,936153267;-0,049189781;0,751282977;PSK1;YAL017W
SEC15 CDS;0,936153267;-0,050580724;0,751845055;SEC15;YGL233W
CDC48 CDS;0,936153267;-0,051092982;0,753270896;CDC48;YDL126C
NFU1 CDS;0,936153267;-0,051750263;0,752213496;NFU1;YKL040C
COG1 CDS;0,936153267;-0,052989737;0,751903884;COG1;YGL223C
DOT6 CDS;0,936153267;-0,053219158;0,753359301;DOT6;YER088C
ENV7 CDS;0,936153267;-0,054131835;0,752455541;ENV7;YPL236C
TEM1 CDS;0,936153267;-0,054196001;0,752446366;TEM1;YML064C
PIN4 CDS;0,936153267;-0,054415654;0,75389621;PIN4;YBL051C
PET100 CDS;0,936153267;-0,054552193;0,753438687;PET100;YDR079W
GPI15 CDS;0,936153267;-0,05830467;0,751154732;GPI15;YNL038W
IME2 CDS;0,936153267;-0,066372566;0,754030955;IME2;YJL106W
VMR1 CDS;0,936947733;0,048763526;0,754859878;VMR1;YHL035C
CTK2 CDS;0,937874989;0,052296989;0,756144989;CTK2;YJL006C
SMX2 CDS;0,937874989;-0,047703271;0,755954882;SMX2;YFL017W-A
hypothetical protein CDS;0,937874989;-0,05036615;0,756264614;;YKL018C-A
SWH1 CDS;0,937874989;-0,05501457;0,756396653;SWH1;YAR042W
RCR1 CDS;0,937874989;-0,057204976;0,75608386;RCR1;YBR005W
APA1 CDS;0,938148547;0,049142229;0,756775268;APA1;YCL050C
OCA6 CDS;0,938231643;0,050097098;0,757158308;OCA6;YDR067C
SEC1 CDS;0,938231643;0,048357238;0,757095844;SEC1;YDR164C
RUB1 CDS;0,938681312;0,056875118;0,757837354;RUB1;YDR139C
BPL1 CDS;0,938681312;0,051074264;0,757736166;BPL1;YDL141W
RET3 CDS;0,938865898;-0,058071726;0,75814449;RET3;YPL010W
hypothetical protein CDS;0,939028824;0,048636293;0,758434193;;YFR018C
hypothetical protein CDS;0,939566327;0,074438269;0,760450618;;YBR196C-A
IDP3 CDS;0,939566327;0,058747764;0,760144752;IDP3;YNL009W
MOH1 CDS;0,939566327;0,056660556;0,759030301;MOH1;YBL049W
SEC12 CDS;0,939566327;0,052191583;0,760371722;SEC12;YNR026C
OTU2 CDS;0,939566327;0,049283071;0,759279226;OTU2;YHL013C
DML1 CDS;0,939566327;0,048251436;0,759392614;DML1;YMR211W
SNO3 CDS;0,939566327;0,046509454;0,75998496;SNO3;YFL060C
LIP2 CDS;0,939566327;-0,055444778;0,759892923;LIP2;YLR239C
NAT3 CDS;0,939566327;-0,059084292;0,760040996;NAT3;YPR131C
ILM1 CDS;0,939566327;-0,059680487;0,760155278;ILM1;YJR118C
hypothetical protein CDS;0,939670827;0,046191341;0,760693443;;YMR210W
RRT5 CDS;0,939770124;0,08143337;0,760932091;RRT5;YFR032C
ALY2 CDS;0,940294218;-0,056637623;0,761514802;ALY2;YJL084C
UBP13 CDS;0,940358232;0,049462492;0,76187194;UBP13;YBL067C
BDF1 CDS;0,940358232;-0,048085918;0,761883371;BDF1;YLR399C
RTC6 CDS;0,940681474;0,048465579;0,762404066;RTC6;YPL183W-A
PTP3 CDS;0,940681474;-0,049516985;0,762462097;PTP3;YER075C
NNK1 CDS;0,94076553;0,059633151;0,763163954;NNK1;YKL171W
RRP17 CDS;0,94076553;0,050622036;0,76274637;RRP17;YDR412W
YSP2 CDS;0,94076553;0,049954922;0,762852959;YSP2;YDR326C
RAM2 CDS;0,94076553;0,047009854;0,763137154;RAM2;YKL019W
YRF1-6 CDS;0,941178948;0,050879425;0,764557395;YRF1-6;YNL339C
CFT2 CDS;0,941178948;0,04870166;0,764207952;CFT2;YLR115W
NCL1 CDS;0,941178948;0,045477057;0,763999161;NCL1;YBL024W
HSP31 CDS;0,941178948;0,044618907;0,764907151;HSP31;YDR533C
CYT2 CDS;0,941178948;-0,049660441;0,764380299;CYT2;YKL087C
MLP2 CDS;0,941178948;-0,049950797;0,764140081;MLP2;YIL149C
FYV4 CDS;0,941178948;-0,054330396;0,764210621;FYV4;YHR059W
hypothetical protein CDS;0,941178948;-0,054717025;0,764885904;;YJR142W
hypothetical protein CDS;0,941178948;-0,059282595;0,764925834;;YNL146W
hypothetical protein CDS;0,941344236;0,069388963;0,765765619;;YOR011W-A
PDR12 CDS;0,941344236;0,065248433;0,766188529;PDR12;YPL058C
RTF1 CDS;0,941344236;0,047872016;0,766214189;RTF1;YGL244W
RAD50 CDS;0,941344236;0,043914638;0,766303488;RAD50;YNL250W
SOR2 CDS;0,941344236;-0,046499587;0,765740796;SOR2;YDL246C
YHP1 CDS;0,941344236;-0,047133008;0,766243036;YHP1;YDR451C
hypothetical protein CDS;0,941344236;-0,051421794;0,7663284;;YGR169C-A
NAT2 CDS;0,941344236;-0,056746501;0,765608993;NAT2;YGR147C
WSC3 CDS;0,941589634;-0,052832975;0,766686743;WSC3;YOL105C
hypothetical protein CDS;0,941867662;-0,04507054;0,76719712;;YHL017W
BNR1 CDS;0,941867662;-0,047059608;0,76723036;BNR1;YIL159W
DCS2 CDS;0,942178105;0,058873123;0,768262361;DCS2;YOR173W
hypothetical protein CDS;0,942178105;0,054455791;0,767855432;;YDL109C
CUS2 CDS;0,942178105;0,053560779;0,768731719;CUS2;YNL286W
KOG1 CDS;0,942178105;0,045919287;0,768443183;KOG1;YHR186C
SIC1 CDS;0,942178105;0,043326419;0,768791667;SIC1;YLR079W
GUP1 CDS;0,942178105;-0,047055097;0,76809085;GUP1;YGL084C
MGS1 CDS;0,942178105;-0,047670706;0,768911266;MGS1;YNL218W
hypothetical protein CDS;0,942178105;-0,050769898;0,768088692;;YPL279C
NSR1 CDS;0,942178105;-0,06218962;0,76831363;NSR1;YGR159C
CTF13 CDS;0,942854258;0,048523721;0,770919834;CTF13;YMR094W
DFG10 CDS;0,942854258;0,046524143;0,770801536;DFG10;YIL049W
PEX13 CDS;0,942854258;0,046473288;0,771050906;PEX13;YLR191W
VPS4 CDS;0,942854258;-0,043089867;0,770810858;VPS4;YPR173C
SHE9 CDS;0,942854258;-0,04431158;0,770957819;SHE9;YDR393W
ZPS1 CDS;0,942854258;-0,045121085;0,770729783;ZPS1;YOL154W
hypothetical protein CDS;0,942854258;-0,045498121;0,77065628;;YMR102C
NSE5 CDS;0,942854258;-0,046777043;0,769963935;NSE5;YML023C
EMC3 CDS;0,942854258;-0,050081392;0,770032231;EMC3;YKL207W
HMT1 CDS;0,942854258;-0,054667859;0,770020855;HMT1;YBR034C
OSW2 CDS;0,943311535;0,052488572;0,771705329;OSW2;YLR054C
CAF40 CDS;0,943311535;0,049856548;0,771901439;CAF40;YNL288W
NOP14 CDS;0,943311535;-0,043986139;0,771819366;NOP14;YDL148C
PRE4 CDS;0,943373798;-0,041917154;0,77217098;PRE4;YFR050C
DPB11 CDS;0,943373798;-0,043197798;0,77227013;DPB11;YJL090C
MRT4 CDS;0,944003303;-0,060618863;0,772944436;MRT4;YKL009W
RAD17 CDS;0,944102959;-0,054035447;0,773185027;RAD17;YOR368W
FMP23 CDS;0,9445174;0,047137721;0,773683501;FMP23;YBR047W
TFS1 CDS;0,944959696;0,053544124;0,774204938;TFS1;YLR178C
ASP3-4 CDS;0,945023186;0,045873407;0,774594432;ASP3-4;YLR160C
PUG1 CDS;0,945023186;0,044514381;0,774568513;PUG1;YER185W
RRP7 CDS;0,945023186;-0,045465818;0,7747344;RRP7;YCL031C
SPC110 CDS;0,94547608;-0,042437663;0,77526491;SPC110;YDR356W
MFB1 CDS;0,945677871;0,047229981;0,77574889;MFB1;YDR219C
ARE2 CDS;0,945677871;-0,043508835;0,775745754;ARE2;YNR019W
ARO80 CDS;0,945797604;0,048987817;0,776324945;ARO80;YDR421W
BFR2 CDS;0,945797604;-0,046439351;0,776131251;BFR2;YDR299W
MRP10 CDS;0,945797604;-0,052494419;0,776223657;MRP10;YDL045W-A
ULA1 CDS;0,946078196;0,044943438;0,776714585;ULA1;YPL003W
ATH1 CDS;0,946397637;0,048417152;0,777207146;ATH1;YPR026W
RPN6 CDS;0,946397637;-0,041914616;0,777295601;RPN6;YDL097C
hypothetical protein CDS;0,946638251;-0,045045401;0,777652642;;YNL067W-B
NMD2 CDS;0,946672986;0,041605642;0,777840603;NMD2;YHR077C
SNT2 CDS;0,94752927;0,051816406;0,778703745;SNT2;YGL131C
hypothetical protein CDS;0,947747278;-0,042010858;0,779202124;;YDR352W
hypothetical protein CDS;0,947747278;-0,042108982;0,779060329;;YGR250C
XBP1 CDS;0,948190361;0,059037589;0,780045455;XBP1;YIL101C
RPT2 CDS;0,948190361;-0,043309293;0,779980047;RPT2;YDL007W
RTG2 CDS;0,948230658;0,043503391;0,780437627;RTG2;YGL252C
STE23 CDS;0,948230658;-0,041187453;0,78071736;STE23;YLR389C
NPL6 CDS;0,948230658;-0,048571138;0,780640012;NPL6;YMR091C
MET7 CDS;0,948230658;-0,049354354;0,780596757;MET7;YOR241W
PAU18 CDS;0,948346115;0,057826299;0,781028503;PAU18;YLL064C
BSC6 CDS;0,948346115;-0,044908227;0,781131837;BSC6;YOL137W
SMP3 CDS;0,948447738;0,041745558;0,781375267;SMP3;YOR149C
SNT1 CDS;0,948628484;-0,050318238;0,781683929;SNT1;YCR033W
MNL1 CDS;0,949639305;0,042889339;0,782953908;MNL1;YHR204W
COS111 CDS;0,949639305;0,042540397;0,783156564;COS111;YBR203W
UTP14 CDS;0,949639305;0,04109068;0,782893094;UTP14;YML093W
YKU80 CDS;0,949639305;-0,053514059;0,783016623;YKU80;YMR106C
PET309 CDS;0,949814124;0,044811159;0,783752011;PET309;YLR067C
YAR1 CDS;0,949814124;0,043176598;0,78386749;YAR1;YPL239W
MKK2 CDS;0,949814124;0,040618778;0,783512889;MKK2;YPL140C
BSC4 CDS;0,949814124;-0,058370285;0,783940556;BSC4;YNL269W
ARG8 CDS;0,950163005;0,046024983;0,784708551;ARG8;YOL140W
BUB1 CDS;0,950163005;0,045203838;0,784639484;BUB1;YGR188C
VPS60 CDS;0,950163005;-0,04330011;0,784633557;VPS60;YDR486C
RPC53 CDS;0,95032341;0,040729007;0,785001065;RPC53;YDL150W
RAD18 CDS;0,950332261;0,041290984;0,78605538;RAD18;YCR066W
SMY2 CDS;0,950332261;-0,040744848;0,786128674;SMY2;YBR172C
TUB1 CDS;0,950332261;-0,041642544;0,785610164;TUB1;YML085C
WRS1 CDS;0,950332261;-0,046466857;0,785611615;WRS1;YOL097C
hypothetical protein CDS;0,950332261;-0,048006818;0,785358473;;YNL140C
FRE2 CDS;0,950332261;-0,051263083;0,78583272;FRE2;YKL220C
TIM12 CDS;0,950332261;-0,056484522;0,786093174;TIM12;YBR091C
hypothetical protein CDS;0,950368127;0,046960062;0,78647844;;YHR177W
CDC123 CDS;0,950368127;0,040796902;0,786347324;CDC123;YLR215C
ASN1 CDS;0,950952379;0,054527531;0,794616059;ASN1;YPR145W
hypothetical protein CDS;0,950952379;0,050086019;0,787515677;;YHR214C-C
OTU1 CDS;0,950952379;0,049625324;0,794641488;OTU1;YFL044C
MSN2 CDS;0,950952379;0,048198605;0,788060319;MSN2;YMR037C
hypothetical protein CDS;0,950952379;0,046371772;0,79523941;;YMR018W
LCL3 CDS;0,950952379;0,046222636;0,791800492;LCL3;YGL085W
HAL1 CDS;0,950952379;0,046161421;0,792390928;HAL1;YPR005C
OMS1 CDS;0,950952379;0,045712583;0,79419293;OMS1;YDR316W
RAX1 CDS;0,950952379;0,044880967;0,792195344;RAX1;YOR301W
PEX34 CDS;0,950952379;0,044492169;0,791376307;PEX34;YCL056C
ZIP1 CDS;0,950952379;0,043702234;0,787449756;ZIP1;YDR285W
TFC1 CDS;0,950952379;0,043193791;0,795229812;TFC1;YBR123C
TAF8 CDS;0,950952379;0,042675774;0,792949507;TAF8;YML114C
YSR3 CDS;0,950952379;0,042160231;0,789564014;YSR3;YKR053C
FUI1 CDS;0,950952379;0,042148596;0,791064627;FUI1;YBL042C
OXP1 CDS;0,950952379;0,041684074;0,794390987;OXP1;YKL215C
DYN1 CDS;0,950952379;0,041665709;0,792335561;DYN1;YKR054C
DGK1 CDS;0,950952379;0,041384474;0,794635416;DGK1;YOR311C
DAP2 CDS;0,950952379;0,041139412;0,792674348;DAP2;YHR028C
CUP9 CDS;0,950952379;0,040906601;0,789217849;CUP9;YPL177C
ARN1 CDS;0,950952379;0,040842205;0,791085445;ARN1;YHL040C
PEX12 CDS;0,950952379;0,040749487;0,789760818;PEX12;YMR026C
SEC65 CDS;0,950952379;0,040480114;0,787586254;SEC65;YML105C
POL3 CDS;0,950952379;0,040177697;0,79477656;POL3;YDL102W
CEP3 CDS;0,950952379;0,039622776;0,795254579;CEP3;YMR168C
SNU114 CDS;0,950952379;-0,038201119;0,795077145;SNU114;YKL173W
YIF1 CDS;0,950952379;-0,038566983;0,795449725;YIF1;YNL263C
TAF2 CDS;0,950952379;-0,039315129;0,792574878;TAF2;YCR042C
CFT1 CDS;0,950952379;-0,04017094;0,789791989;CFT1;YDR301W
hypothetical protein CDS;0,950952379;-0,040189537;0,789017715;;YBR063C
YHI9 CDS;0,950952379;-0,040514753;0,789263608;YHI9;YHR029C
VPS25 CDS;0,950952379;-0,040748084;0,795304193;VPS25;YJR102C
HRB1 CDS;0,950952379;-0,040757381;0,789810661;HRB1;YNL004W
SOG2 CDS;0,950952379;-0,040773867;0,790924878;SOG2;YOR353C
CPR8 CDS;0,950952379;-0,041299256;0,789338915;CPR8;YNR028W
RRP9 CDS;0,950952379;-0,041300778;0,794614891;RRP9;YPR137W
MAS2 CDS;0,950952379;-0,042004523;0,795391426;MAS2;YHR024C
hypothetical protein CDS;0,950952379;-0,042109904;0,794507866;;YBL029W
REG1 CDS;0,950952379;-0,042936365;0,791956145;REG1;YDR028C
RIM11 CDS;0,950952379;-0,043336762;0,788889599;RIM11;YMR139W
TRE2 CDS;0,950952379;-0,043378053;0,791596447;TRE2;YOR256C
GUT1 CDS;0,950952379;-0,044229678;0,794087476;GUT1;YHL032C
APN1 CDS;0,950952379;-0,044527964;0,792184004;APN1;YKL114C
PAT1 CDS;0,950952379;-0,045966032;0,790695029;PAT1;YCR077C
PUF6 CDS;0,950952379;-0,047262118;0,794121194;PUF6;YDR496C
NGL3 CDS;0,950952379;-0,04990489;0,79372742;NGL3;YML118W
MNN1 CDS;0,950952379;-0,05114643;0,793169788;MNN1;YER001W
hypothetical protein CDS;0,950952379;-0,051316675;0,790324866;;YDR381C-A
SDC1 CDS;0,950952379;-0,051940879;0,794117062;SDC1;YDR469W
UTP11 CDS;0,950952379;-0,053485691;0,789635506;UTP11;YKL099C
COS1 CDS;0,950952379;-0,05568106;0,791591546;COS1;YNL336W
POP5 CDS;0,950952379;-0,057944352;0,792883892;POP5;YAL033W
UTP30 CDS;0,95142489;-0,044161647;0,796005196;UTP30;YKR060W
XPT1 CDS;0,951476518;0,039850255;0,796208625;XPT1;YJR133W
YFT2 CDS;0,951554967;0,039388246;0,796434521;YFT2;YDR319C
SAP1 CDS;0,95181542;0,046082747;0,797221552;SAP1;YER047C
FZF1 CDS;0,95181542;0,043449252;0,797297956;FZF1;YGL254W
NUP133 CDS;0,95181542;0,042541968;0,797453977;NUP133;YKR082W
ERG1 CDS;0,95181542;-0,045605036;0,797319554;ERG1;YGR175C
TPO1 CDS;0,95181542;-0,052398478;0,797440768;TPO1;YLL028W
PGC1 CDS;0,952456147;0,041159083;0,798383861;PGC1;YPL206C
TRZ1 CDS;0,952456147;-0,040425366;0,798471994;TRZ1;YKR079C
hypothetical protein CDS;0,952456147;-0,053237458;0,798257184;;YMR206W
CTK1 CDS;0,952872449;-0,038599038;0,798981462;CTK1;YKL139W
hypothetical protein CDS;0,95317717;0,045524394;0,800447356;;YIL105W-A
CTS2 CDS;0,95317717;0,045162607;0,799610015;CTS2;YDR371W
RAD52 CDS;0,95317717;0,04137218;0,801251762;RAD52;YML032C
SEC5 CDS;0,95317717;0,04076538;0,801323751;SEC5;YDR166C
hypothetical protein CDS;0,95317717;0,040345138;0,800790905;;YBR137W
BRE2 CDS;0,95317717;0,038136734;0,80039607;BRE2;YLR015W
RPN10 CDS;0,95317717;-0,03757173;0,801102635;RPN10;YHR200W
hypothetical protein CDS;0,95317717;-0,038099588;0,800486524;;YFR006W
REX2 CDS;0,95317717;-0,041473203;0,800279098;REX2;YLR059C
YND1 CDS;0,95317717;-0,041563985;0,800656011;YND1;YER005W
STE4 CDS;0,95317717;-0,042956621;0,800655936;STE4;YOR212W
MRPL17 CDS;0,95317717;-0,04719579;0,800714669;MRPL17;YNL252C
CUE5 CDS;0,95317717;-0,047346794;0,801129269;CUE5;YOR042W
GTT2 CDS;0,953242776;-0,049869409;0,801539438;GTT2;YLL060C
GBP2 CDS;0,953302156;-0,036526441;0,80174991;GBP2;YCL011C
hypothetical protein CDS;0,953411596;0,042767398;0,802350715;;YPR089W
MSI1 CDS;0,953411596;0,03804727;0,802289753;MSI1;YBR195C
RPL15B CDS;0,953411596;-0,037451924;0,802805318;RPL15B;YMR121C
hypothetical protein CDS;0,953411596;-0,037594246;0,8027138;;YPL109C
SCC2 CDS;0,953411596;-0,03889487;0,802502765;SCC2;YDR180W
MMP1 CDS;0,953411596;-0,03895252;0,802720319;MMP1;YLL061W
CDC24 CDS;0,953508246;-0,038668618;0,803047278;CDC24;YAL041W
PAU20 CDS;0,954085041;0,051801401;0,803996747;PAU20;YOL161C
MYO5 CDS;0,954085041;0,049303333;0,804657778;MYO5;YMR109W
SGF73 CDS;0,954085041;0,047415544;0,804572365;SGF73;YGL066W
YCK1 CDS;0,954085041;0,043995763;0,804391861;YCK1;YHR135C
hypothetical protein CDS;0,954085041;0,039128136;0,803769912;;YMR244W
ARP9 CDS;0,954085041;0,038510133;0,804499738;ARP9;YMR033W
TOP1 CDS;0,954085041;-0,03916223;0,804021974;TOP1;YOL006C
SRB8 CDS;0,954167753;0,044951172;0,80595176;SRB8;YCR081W
RIM101 CDS;0,954167753;0,043907038;0,806173731;RIM101;YHL027W
hypothetical protein CDS;0,954167753;0,037551806;0,806085454;;YMR226C
RRP5 CDS;0,954167753;-0,039082208;0,805387605;RRP5;YMR229C
SSF2 CDS;0,954167753;-0,044860547;0,805829595;SSF2;YDR312W
hypothetical protein CDS;0,954167753;-0,050575605;0,805904664;;YLL058W
hypothetical protein CDS;0,954167753;-0,05216433;0,805511961;;YDL129W
hypothetical protein CDS;0,954167753;-0,060683139;0,805458294;;YAR029W
HMLALPHA1 CDS;0,954167753;-0,06371558;0,80555977;HMLALPHA1;YCL066W
GPB1 CDS;0,954247212;0,048369873;0,808357242;GPB1;YOR371C
HTS1 CDS;0,954247212;0,04572382;0,808581824;HTS1;YPR033C
hypothetical protein CDS;0,954247212;0,042728193;0,808205995;;YLR407W
PUS6 CDS;0,954247212;0,042288962;0,808021435;PUS6;YGR169C
CDC40 CDS;0,954247212;0,039839794;0,806935893;CDC40;YDR364C
PAP2 CDS;0,954247212;0,038617245;0,80715795;PAP2;YOL115W
GZF3 CDS;0,954247212;0,038610265;0,80909535;GZF3;YJL110C
CBR1 CDS;0,954247212;0,038008227;0,806917006;CBR1;YIL043C
putative cysteine synthase CDS;0,954247212;-0,035901213;0,808451995;;YGR012W
ART10 CDS;0,954247212;-0,0362209;0,809062541;ART10;YLR392C
FAT1 CDS;0,954247212;-0,03694598;0,807561184;FAT1;YBR041W
ADY4 CDS;0,954247212;-0,037305335;0,809133498;ADY4;YLR227C
CHO1 CDS;0,954247212;-0,038289406;0,808503179;CHO1;YER026C
SNF11 CDS;0,954247212;-0,039398419;0,807074338;SNF11;YDR073W
TOR2 CDS;0,954247212;-0,040714205;0,807034674;TOR2;YKL203C
hypothetical protein CDS;0,954247212;-0,043474435;0,807546058;;YNL011C
hypothetical protein CDS;0,954247212;-0,044013235;0,808408876;;YDR179W-A
VID30 CDS;0,954247212;-0,044023051;0,809053864;VID30;YGL227W
ERG24 CDS;0,954247309;0,044813307;0,810419195;ERG24;YNL280C
PEX17 CDS;0,954247309;0,044306222;0,809980094;PEX17;YNL214W
AAR2 CDS;0,954247309;0,041539092;0,810202608;AAR2;YBL074C
STP1 CDS;0,954247309;0,041290254;0,810070693;STP1;YDR463W
ARO1 CDS;0,954247309;0,040886881;0,809348736;ARO1;YDR127W
TGL3 CDS;0,954247309;0,039198203;0,810175144;TGL3;YMR313C
YSP1 CDS;0,954247309;0,038340529;0,809786246;YSP1;YHR155W
RDR1 CDS;0,954247309;-0,037170135;0,810322771;RDR1;YOR380W
KXD1 CDS;0,954289552;-0,036819898;0,81061578;KXD1;YGL079W
hypothetical protein CDS;0,954356109;0,040582466;0,811299228;;YLR422W
YPT32 CDS;0,954356109;0,039122746;0,811119738;YPT32;YGL210W
GCN5 CDS;0,954356109;0,038273238;0,811636637;GCN5;YGR252W
STU1 CDS;0,954356109;0,036868274;0,811125223;STU1;YBL034C
SNN1 CDS;0,954356109;-0,038395986;0,811477813;SNN1;YNL086W
MRPL11 CDS;0,954356109;-0,046881592;0,811520272;MRPL11;YDL202W
PMD1 CDS;0,95456903;0,036349545;0,812098582;PMD1;YER132C
GEA1 CDS;0,95456903;0,035760029;0,812507876;GEA1;YJR031C
NUP84 CDS;0,95456903;-0,0358352;0,812316911;NUP84;YDL116W
AIM14 CDS;0,95456903;-0,037157863;0,812439579;AIM14;YGL160W
